UNITID,NPT4_PRIV,NPT4_PUB,TUITFTE,UG12MN
100654,NULL,14444,7413,5343
100663,NULL,17005,13177,14445
100690,15322,NULL,14273,440
100706,NULL,20909,8677,8145
100724,NULL,13043,10160,4732
100751,NULL,22232,14198,36237
100760,NULL,3254,1771,2417
100812,NULL,NULL,6817,3947
100830,NULL,12680,7582,5246
100858,NULL,23696,15908,25195
100937,25494,NULL,11383,1316
101028,NULL,1578,2036,2020
101116,22660,NULL,11386,561
101143,NULL,4100,2315,2461
101161,NULL,6141,2524,8415
101189,25557,NULL,11044,3250
101240,NULL,4362,1940,6790
101277,9885,NULL,5408,137
101286,NULL,1277,2179,6237
101295,NULL,5531,2845,7300
101301,NULL,7114,1538,2486
101365,17906,NULL,13723,1019
101435,20136,NULL,11149,1249
101453,NULL,NULL,11932,66
101462,NULL,4825,1599,1088
101471,NULL,3345,116,833
101480,NULL,16962,6509,8735
101505,NULL,8924,3111,13608
101514,NULL,5361,3537,15261
101541,16619,NULL,8288,397
101569,NULL,7299,1449,4736
101587,NULL,13975,7929,2516
101602,NULL,7800,1975,2392
101648,NULL,11666,2016,459
101675,15248,NULL,4728,2089
101693,14611,NULL,10177,1652
101709,NULL,16391,8343,2529
101736,NULL,6999,2721,4741
101879,NULL,12557,7591,7077
101897,NULL,3273,2053,3767
101912,26293,NULL,14766,1778
101994,NULL,2825,1639,565
102030,NULL,4262,1695,4748
102049,29207,NULL,19266,3511
102058,13037,NULL,14124,348
102067,NULL,6361,2510,7253
102076,NULL,4698,2830,3611
102094,NULL,14871,9364,12062
102234,19718,NULL,12357,1495
102270,13857,NULL,7563,854
102298,16386,NULL,8315,1018
102313,NULL,6881,2293,2572
102368,NULL,13313,9399,16868
102377,35353,NULL,15883,2834
102395,NULL,NULL,14842,213
102429,NULL,7617,2534,5537
102553,NULL,13819,7253,22973
102580,20066,NULL,8091,44
102614,NULL,11297,8210,11417
102632,NULL,10258,7626,3622
102669,20717,NULL,13127,340
102711,NULL,10018,6522,1895
102845,29362,NULL,5823,4415
103501,17665,NULL,8308,586
103741,14765,NULL,9489,178
103893,20634,NULL,10702,963
103909,21109,NULL,14071,883
103927,19053,NULL,11178,497
103945,26908,NULL,13124,117
103954,13239,NULL,8863,97
103963,30642,NULL,19545,1192
104090,28341,NULL,29009,1325
104151,NULL,11644,20364,45657
104160,NULL,10598,904,11492
104179,NULL,14553,15599,37278
104188,31109,NULL,20889,127
104346,NULL,4903,1504,8086
104391,9699,NULL,12372,75
104425,NULL,6313,877,11087
104434,15792,NULL,8790,62
104443,14914,NULL,9258,114
104504,21716,NULL,5756,161
104568,12674,NULL,6829,515
104577,NULL,6985,869,8682
104586,32053,NULL,26166,2770
104665,NULL,NULL,36215,NULL
104708,NULL,7079,1758,27350
104717,21197,NULL,11035,76300
105145,NULL,7131,2963,7660
105154,NULL,7717,2311,30010
105206,NULL,8214,2075,5809
105215,NULL,NULL,9804,1427
105297,NULL,8645,357,2034
105330,NULL,14326,7767,29918
105349,NULL,8444,1347,5970
105367,NULL,NULL,7552,586
105428,NULL,7227,1708,17335
105482,19849,NULL,9195,137
105525,NULL,3817,2036,33740
105534,23662,NULL,6906,3535
105543,19858,NULL,6854,1309
105589,20674,NULL,15965,542
105659,22594,NULL,9343,1308
105668,NULL,6964,2641,42716
105677,22284,NULL,11621,47
105747,NULL,8502,2426,13652
105792,NULL,6877,1289,5909
105899,20765,NULL,11155,834
106041,20467,NULL,13602,2461
106111,13822,NULL,9302,177
106148,NULL,6888,2234,10116
106245,NULL,12102,5354,10862
106263,NULL,NULL,18147,700
106306,16142,NULL,8924,858
106315,22774,NULL,3327,220
106324,8334,NULL,11597,40
106342,17032,NULL,9961,694
106351,20053,NULL,8666,213
106360,11174,NULL,8232,60
106397,NULL,15642,9627,24897
106412,NULL,10684,4113,2730
106449,NULL,7291,2236,5423
106458,NULL,13605,4037,11038
106467,NULL,12362,4725,12058
106485,NULL,11164,4182,3841
106494,11846,NULL,9522,84
106546,22776,NULL,4647,928
106625,NULL,6849,2408,1802
106704,NULL,14723,5495,10616
106713,14485,NULL,9880,859
106795,NULL,4702,2267,1983
106810,13334,NULL,7608,224
106829,NULL,3526,447,184
106883,NULL,4836,2535,1575
106892,12073,NULL,3815,413
106908,17793,NULL,10217,568
106980,NULL,8205,2355,3429
106999,NULL,7020,1167,1544
107044,19563,NULL,14806,4530
107071,NULL,16583,3495,3151
107080,21215,NULL,10750,1521
107099,10170,NULL,9231,47
107123,NULL,NULL,4592,128
107141,22210,NULL,11732,2158
107220,11663,NULL,11733,295
107293,12633,NULL,8239,92
107318,NULL,11367,1879,2029
107327,NULL,4826,1154,2066
107442,14197,NULL,3478,69
107460,NULL,4684,1108,2311
107488,NULL,4461,2524,288
107512,18881,NULL,10407,1656
107521,NULL,8295,1934,1692
107549,NULL,8288,1155,1588
107558,16089,NULL,8782,800
107585,NULL,5399,2335,2513
107600,14249,NULL,7747,1049
107619,NULL,4915,911,2144
107637,NULL,5589,2455,1792
107655,5391,NULL,8071,40
107664,NULL,11705,3340,8048
107725,NULL,8003,1613,2078
107743,NULL,5944,988,1187
107789,18469,NULL,10517,156
107831,19494,NULL,11872,111
107840,16044,NULL,7874,1099
107877,18001,NULL,8050,539
107974,NULL,7556,2639,2070
107983,NULL,13602,4716,3866
107992,NULL,13209,1984,1976
108065,8143,NULL,19273,15
108092,NULL,10397,3377,7517
108232,32131,NULL,31908,9827
108269,NULL,NULL,8320,NULL
108348,23672,NULL,16236,36
108649,16146,NULL,6346,218
108667,NULL,6808,1078,10615
108807,NULL,3097,659,17070
108852,37351,NULL,26205,310
108861,NULL,NULL,9305,NULL
108870,NULL,NULL,35423,NULL
108977,10039,NULL,5869,192
109040,19140,NULL,16044,2038
109086,28411,NULL,27255,84
109208,NULL,4796,604,46394
109350,NULL,5961,436,18532
109651,43010,NULL,34648,2716
109721,21929,NULL,16074,570
109730,23235,NULL,13093,253
109785,25451,NULL,19919,6239
109819,NULL,5425,514,33600
109907,NULL,8647,412,4588
109934,24062,NULL,12137,307
110060,13131,NULL,6413,334
110097,31345,NULL,22560,4203
110194,28746,NULL,10058,307
110219,18816,NULL,15165,2144
110246,NULL,3888,994,14144
110316,NULL,NULL,25180,106
110334,NULL,7313,1318,17467
110361,23365,NULL,18673,8518
110370,35458,NULL,30596,1694
110398,NULL,NULL,22938,NULL
110404,23820,NULL,18877,989
110413,27220,NULL,19499,3286
110422,NULL,20592,9068,22352
110468,25481,NULL,18708,2078
110486,NULL,5687,3321,10500
110495,NULL,6174,4680,10226
110510,NULL,8209,3622,19495
110529,NULL,12842,4699,25910
110538,NULL,14453,4242,18423
110547,NULL,3891,3854,14480
110556,NULL,6452,3735,23662
110565,NULL,8234,5172,40621
110574,NULL,11435,5794,15801
110583,NULL,8982,4721,34141
110592,NULL,4175,3656,25757
110608,NULL,8243,4673,38245
110617,NULL,9722,4931,31737
110635,NULL,14846,22027,32309
110644,NULL,14729,18270,32197
110653,NULL,14604,15954,30865
110662,NULL,14171,18278,33160
110671,NULL,12743,12688,21540
110680,NULL,13318,17532,30143
110699,NULL,NULL,19137,NULL
110705,NULL,16236,15451,23559
110714,NULL,17699,14448,18534
110778,NULL,NULL,23445,11
110875,15207,NULL,10808,131
