"STABBR","ZIP2","UNITID","COUNTYCD","treat_pu4_i","lag.OpenDoor_pu4_i","lag.Doct_Res_pu4_i","lag.net_price_pu4_i","treat_priv4_i","lag.OpenDoor_priv4_i","lag.Doct_Res_priv4_i","lag.net_price_priv4_i","treat_profit4_i","lag.OpenDoor_profit4_i","lag.Doct_Res_profit4_i","lag.net_price_profit4_i","treat_i","mean_cost_all_i","prop_pub_neigh","net_price_i","cost_attndce_i","instate_tui_fees_i","outstate_tui_fees_i","net_tuition_rev_i","instruct_expendts_i","fac_salary_month_i","prop_fac_fulltime_i","prop_Pell_grant_i","prop_loan_i","transf_rate_FTE_i","non_resident_alien_i","distance_only_i","White_i","Black_i","Hispanic_i","Asian_i","race_other_i","prop_part_time_i","undup_count_i","med_debt_grads_i","med_debt_nongrads_i","med_debt_1st_gen_i","med_debt_cont_gen_i","prop_adlts_up_HS_c","unemplymnt_rate_c","prop_poverty_c","death_rate_c","prop_net_migration_c","LONGITUD","LATITUDE","New_Eng_i","Mid_East_i","Great_Lakes_i","Plains_i","Southeast_i","Southwest_i","Rocky_Mount_i","Far_West_i","Rural_i","net_price_t0","county","White_z","Black_z","Hispanic_z","Asian_z","other_z","citzn_born_abroad_z","rent_income_ratio_z","single_mother_hshld_z","Bach_or_more_z","Gini_z","prop_crime_z","med_rent_z","med_income_z","prop_EITC_z","Rank_s","State.Gross.Domestic.Product_s","Absolute.Domestic.Migration_s","Non.Farm.Payroll_s","core_lower_div_s","common_numberg_s","Asocc_degree_gtd_s","reverse_trsnfer_s","race_other_z","state_sup_per_inhabi_s","Need_based_s","Nonneed_based_s","Nongrant_Aid_s","neigh_i","prop_pub_neigh_i","prop_pri_NoProf_neigh_i","prop_Profit_neigh_i","tot_living_oncampus","total_students","pct_living_on_campus_i","prop_inst_aid_i","prop_Research_all_i","prop_OpenDoor_all_i","Northeast","Midwest","South","West"
"AL","35010","100760","01123",0,0,0,,0,0,0,,0,0,0,,0,,,3721,8824,4740,8610,1771,6801,6291,0.3966,0.63,0.2104,0.125,0.0017,0,0.725,0.2337,0.0239,0.0041,0.0133,0.3922,2417,7678,12500,7750,6500,0.524,0.041,0.197,0.132,0.011,-85.945266,32.92478,0,0,0,0,1,0,0,0,0,5239,,0.638376964385636,0.229332626166598,0.0771709146038966,0,,0.042974182824214,0.227509610652923,0.37905196989665,0.165006128222852,0.461558844504547,0.0559273969937281,581.489966582419,19453.9572022908,0.276012852202944,18,11,33,11,1,0,0,1,0.0551194948438686,337.983360611521,160.853264152955,17.1692313159672,0.377589821955293,0,,,,,231,0,0.19,,,0,0,1,0
"AL","35077","101295","01043",0,0,0,,0,0,0,,0,0,0,,0,,,5998,10252,4740,8610,2845,5223,5878,0.3839,0.55,0.3007,0.1234,0.0074,0,0.8345,0.0584,0.0512,0.0055,0.0504,0.4568,7300,8250,11000,8372,8056,0.538,0.032,0.145,0.129,0.079,-86.781935,34.072439,0,0,0,0,1,0,0,0,0,6652,"01043",0.876538146021329,0.0478260869565217,0.0470877768662838,0.000410172272354389,0.0281378178835111,0.0390171953425076,0.269166666666667,0.289451114922813,0.11941162844568,0.4702,0.0604602899053623,647,18847,0.248,18,11,33,11,1,0,0,1,0.0281378178835111,337.983360611521,160.853264152955,17.1692313159672,0.377589821955293,0,,,,46,627,0.0733652312599681,0.23,,,0,0,1,0
"AL","35215","101505","01073",1,0,1,17535,4,0.25,0,23078,1,1,0,24836,6,21816.3333333333,0.166666666666667,9391,13284,4800,8670,3111,5340,6676,0.3162,0.48,0.1826,0.2606,0.0242,0,0.6353,0.2337,0.0529,0.0174,0.0607,0.62,13608,5500,10000,5500,5500,0.371,0.037,0.161,0.113,-0.021,-86.707233,33.652535,0,0,0,0,1,0,0,0,0,9003,"01073",0.232075236153302,0.697328450751113,0.0539719528941784,0.00191419416586909,0.0147101660355374,0.0396844494146932,0.348233122362869,0.562770562770563,0.179895652173913,0.4769,0.0320740108450763,793,21961,0.4,18,11,33,11,1,0,0,1,0.0147101660355374,337.983360611521,160.853264152955,17.1692313159672,0.377589821955293,1,0.166666666666667,0.666666666666667,0.166666666666667,,630,0,0.17,0.166666666666667,0.333333333333333,0,0,1,0
"AL","35221","101569","01073",1,0,1,17535,4,0.25,0,23078,1,1,0,24836,6,21816.3333333333,0.166666666666667,7766,13735,4740,8610,1449,6870,6337,0.4107,0.82,0,0.2694,0.0024,0,0.149,0.7989,0.021,0.0071,0.0239999999999999,0.4458,4736,4313.80644482671,6993.09014436754,4463.52445765141,4470.07249840515,0.371,0.037,0.161,0.113,-0.021,-86.888844,33.450814,0,0,0,0,1,0,0,0,0,8284,"01073",0.00701824744335272,0.988369761379587,0.00461199117706036,0,0,0.0357356197677526,0.381410256410256,0.669844020797227,0.146500425049589,0.4508,0.0305061205103742,820,15942,0.438,18,11,33,11,1,0,0,1,0,337.983360611521,160.853264152955,17.1692313159672,0.377589821955293,1,0.166666666666667,0.666666666666667,0.166666666666667,69,627,0.110047846889952,0.47,0.166666666666667,0.333333333333333,0,0,1,0
"AL","35405","102067","01125",1,0,1,21973,1,0,0,13884,0,0,0,,2,17928.5,0.5,6828,12070,4467,8907,2510,5247,4936,0.4429,0.57,0,0.2613,0.0047,0,0.5503,0.3748,0.0016,0.0065,0.0668,0.492,7253,5025.08944065555,8042.54275021118,5147.35366583275,4941.11324699088,0.415,0.036,0.168,0.086,0.003,-87.56148,33.120531,0,0,0,0,1,0,0,0,0,6243,"01125",0.496509856528956,0.465860257838612,0.0217821331938792,0.00718492076123781,0.00866283167731496,0.0438273752324406,0.303706823925864,0.418699564047862,0.302824228911185,0.4381,0.030274722809789,796,26126,0.274,18,11,33,11,1,0,0,1,0.00866283167731496,337.983360611521,160.853264152955,17.1692313159672,0.377589821955293,1,0.5,0.5,0,,504,0,0.18,0.5,0,0,0,1,0
"AL","35501","102429","01127",0,0,0,,0,0,0,,0,0,0,,0,,,8084,13681,5086,9214,2534,6125,6682,0.3234,0.61,0,0.1572,0,0,0.7869,0.1657,0.0212,0.0042,0.022,0.4881,5537,5276.85407893042,8445.39698730771,5424.08566905923,5067.40155647934,0.562,0.042,0.179,0.16,0.005,-87.266406,33.836929,0,0,0,0,1,0,0,0,0,7873,"01127",0.708880160934955,0.180956030271099,0.0749113899798831,0.00306542772296197,0.0321869910911009,0.0346323009040097,0.241800643086817,0.341821320673284,0.0976528542451463,0.476,0.0389077984537855,610,17869,0.301,18,11,33,11,1,0,0,1,0.0321869910911009,337.983360611521,160.853264152955,17.1692313159672,0.377589821955293,0,,,,40,492,0.0813008130081301,0.34,,,0,0,1,0
"AL","35661","101736","01033",1,0,0,12754,0,0,0,,0,0,0,,1,12754,1,7466,12255,4711,8581,2721,5807,4650,0.4845,0.61,0.1971,0.0182,0.0116,0,0.7618,0.1166,0.0676,0.0054,0.0486,0.4764,4741,5984,9750,6250,5500,0.516,0.045,0.138,0.131,0.073,-87.678089,34.739788,0,0,0,0,1,0,0,0,0,6179,"01033",0.769792796392488,0.179861864261659,0.0319082139391518,0.00228323534448313,0.0161538900622181,0.0370000065512079,0.128374325134973,0.156266386995281,0.244963939318577,0.4235,0.0302486723499308,653,24289,0.189,18,11,33,11,1,0,0,1,0.0161538900622181,337.983360611521,160.853264152955,17.1692313159672,0.377589821955293,1,1,0,0,,530,0,0.41,0,0,0,0,1,0
"AL","35671","101514","01083",1,0,1,19986,1,0,0,25539,0,0,0,,2,22762.5,0.5,5828,9848,4820,8690,3537,4839,6559,0.3197,0.49,0.2141,0.2348,0.0089,0,0.6533,0.1779,0.0643,0.0201,0.0844,0.6111,15261,5750,11250,5883,5500,0.46,0.035,0.114,0.094,0.201,-86.949674,34.645844,0,0,0,0,1,0,0,0,0,5401,"01083",0.434825381210034,0.372848007870143,0.192326610919823,0,0,0.0386835697303256,0,0.283276450511945,0.246565934065934,0.4142,0.057411230242942,579,25806.7478436322,0.241,18,11,33,11,1,0,0,1,0,337.983360611521,160.853264152955,17.1692313159672,0.377589821955293,1,0.5,0.5,0,,736,0,0.22,0.5,0,0,0,1,0
"AL","35811","101462","01089",2,0,1,17585,2,0.5,0,15534.5,0,0,0,,4,16559.75,0.5,5292,11123,4710,8580,1599,4487,6096,0.4462,0.78,0,0.1316,0.0295,0,0.3451,0.5383,0.0236,0.0088,0.0841999999999999,0.5413,1088,5691.59300032843,8996.01784228267,5802.87633342137,5547.24461285123,0.297,0.034,0.119,0.09,0.117,-86.572885,34.771858,0,0,0,0,1,0,0,0,0,5538,"01089",0.677011947902838,0.221125901474651,0.0469663808259481,0.0138495210074988,0.041046248789064,0.0615367848176201,0.167423096318709,0.298145738451529,0.287700590664367,0.4308,0.0302920982988519,849,26729,0.174,18,11,33,11,1,0,0,1,0.041046248789064,337.983360611521,160.853264152955,17.1692313159672,0.377589821955293,1,0.5,0.5,0,,62,0,0.11,0.5,0.25,0,0,1,0
"AL","35903","101240","01055",1,0,0,18074,0,0,0,,0,0,0,,1,18074,1,4829,10098,3840,7056,1940,6539,6433,0.468,0.63,0,0.1394,0.0219,0,0.7056,0.1905,0.0388,0.0063,0.0588,0.4497,6790,5165.13227413862,8260.95191731866,5303.25458326904,5016.24351747926,0.484,0.04,0.175,0.142,-0.011,-85.991438,33.994001,0,0,0,0,1,0,0,0,0,3794,,0.627861193390387,0.256133970104919,0.112666582897151,0.000674438996635218,,0.0608834870241189,0.241987391117481,0.374505305114758,0.187990109552066,0.462840392356056,0.048135779554394,675.848120137506,21041.4267047991,0.265773056786913,18,11,33,11,1,0,0,1,0.00266381461090803,337.983360611521,160.853264152955,17.1692313159672,0.377589821955293,1,1,0,0,40,654,0.0611620795107034,0.21,0,0,0,0,1,0
